r,mean_alpha
0,0.97352941
1,0.97401961
2,0.96901961
3,0.96960784
4,0.9697479
5,0.9692402
6,0.97130125
7,0.9678733
8,0.96781046
9,0.96633987
10,0.96805075
11,0.96470588
12,0.96726343
13,0.96584107
14,0.96564706
15,0.96405229
16,0.96737255
17,0.96423384
18,0.96202866
19,0.96403361
20,0.96030897
21,0.96164587
22,0.96208189
23,0.96240896
24,0.96183311
25,0.96099071
26,0.96102343
27,0.9591939
28,0.95959872
29,0.95801364
30,0.95678271
31,0.95751634
32,0.95707014
33,0.95782391
34,0.95586385
35,0.95693816
36,0.95560913
37,0.95517518
38,0.95175185
39,0.94979716
40,0.94879336
41,0.94671192
42,0.943776
43,0.9404032
44,0.93909141
45,0.93434059
46,0.93378151
47,0.9309583
48,0.92709998
49,0.92603199
50,0.9224764
51,0.91949325
52,0.91588953
53,0.9103547
54,0.90850884
55,0.90207094
56,0.89965142
57,0.89457014
58,0.88970072
59,0.88437073
60,0.88068111
61,0.87307253
62,0.86483462
63,0.86117647
64,0.85970904
65,0.84861646
66,0.84035633
67,0.83232545
68,0.82531611
69,0.8177319
70,0.8096721
71,0.79561972
72,0.78085251
73,0.76983543
74,0.75580265
75,0.73823529
76,0.72932577
77,0.70239917
78,0.68452549
79,0.66928902
80,0.6436943
81,0.63199426
82,0.60820985
83,0.57221719
84,0.55595607
85,0.51362966
86,0.49652927
87,0.46481092
88,0.42973856
89,0.4010082
90,0.35991597
91,0.32800935
92,0.27787694
93,0.23433415
94,0.20510323
95,0.16338992
96,0.12211329
97,0.09419051
98,0.06027198
99,0.03602787
100,0.00713927
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
