r,mean_alpha
0,0.80588235
1,0.80637255
2,0.7827451
3,0.78529412
4,0.78529412
5,0.78223039
6,0.79188948
7,0.77978884
8,0.77696078
9,0.77359477
10,0.7805075
11,0.77022059
12,0.77489344
13,0.77234262
14,0.76823529
15,0.76621732
16,0.77556863
17,0.76194626
18,0.75467572
19,0.76137255
20,0.74973262
21,0.75546643
22,0.75637255
23,0.75803922
24,0.75483356
25,0.75270898
26,0.7513869
27,0.7459695
28,0.74443684
29,0.73572038
30,0.72837135
31,0.72673972
32,0.72062594
33,0.71820454
34,0.70754717
35,0.7063914
36,0.69789457
37,0.69222115
38,0.67936355
39,0.67259973
40,0.66662142
41,0.66054299
42,0.65132204
43,0.63769677
44,0.63565313
45,0.61897663
46,0.61654062
47,0.60780171
48,0.59696199
49,0.59162797
50,0.57966594
51,0.56993888
52,0.5585605
53,0.54102225
54,0.53200194
55,0.51283322
56,0.50321351
57,0.48586512
58,0.47065015
59,0.45278158
60,0.43960784
61,0.41666667
62,0.39541493
63,0.38057843
64,0.37245414
65,0.34685725
66,0.32629148
67,0.29961517
68,0.28189481
69,0.26259427
70,0.24470259
71,0.21365353
72,0.18635976
73,0.16601015
74,0.10959668
75,0.02535838
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
